Calibration metrics:
x374: Cal. error 0.0870, RMSE 0.1349, R2 0.4308
x375: Cal. error 0.1060, RMSE 0.1451, R2 0.4178
x376: Cal. error 0.1030, RMSE 0.1514, R2 0.4189
x377: Cal. error 0.0810, RMSE 0.1438, R2 0.3981
x378: Cal. error 0.0790, RMSE 0.1419, R2 0.3722
x379: Cal. error 0.1000, RMSE 0.1454, R2 0.3416
x380: Cal. error 0.0760, RMSE 0.1511, R2 0.3059
x381: Cal. error 0.0550, RMSE 0.1514, R2 0.2870
x382: Cal. error 0.0530, RMSE 0.1415, R2 0.2637
x383: Cal. error 0.1010, RMSE 0.1363, R2 0.2863
x384: Cal. error 0.1690, RMSE 0.0970, R2 0.6652
x385: Cal. error 0.1280, RMSE 0.0940, R2 0.7068
x386: Cal. error 0.0920, RMSE 0.0907, R2 0.7209
x387: Cal. error 0.0310, RMSE 0.0904, R2 0.7437
x388: Cal. error 0.0330, RMSE 0.0860, R2 0.7682
x389: Cal. error 0.0310, RMSE 0.0881, R2 0.7930
x390: Cal. error 0.0420, RMSE 0.0857, R2 0.8178
x391: Cal. error 0.0340, RMSE 0.0819, R2 0.8400
x392: Cal. error 0.0220, RMSE 0.0798, R2 0.8537
x393: Cal. error 0.0310, RMSE 0.0785, R2 0.8591
x394: Cal. error 0.0080, RMSE 0.0741, R2 0.8584
x395: Cal. error 0.0160, RMSE 0.0725, R2 0.8515
x396: Cal. error 0.0140, RMSE 0.0725, R2 0.8457
x397: Cal. error 0.0370, RMSE 0.0735, R2 0.8454
x398: Cal. error 0.0360, RMSE 0.0721, R2 0.8419
x399: Cal. error 0.0270, RMSE 0.0773, R2 0.8226
x400: Cal. error 0.0570, RMSE 0.0836, R2 0.8140
x401: Cal. error 0.0320, RMSE 0.0872, R2 0.8166
x402: Cal. error 0.0190, RMSE 0.0861, R2 0.8170
x403: Cal. error 0.0300, RMSE 0.0852, R2 0.7998
x404: Cal. error 0.0600, RMSE 0.0848, R2 0.7824
x405: Cal. error 0.0790, RMSE 0.0846, R2 0.7746
x406: Cal. error 0.1000, RMSE 0.0880, R2 0.7703
x407: Cal. error 0.1190, RMSE 0.0885, R2 0.7668
x408: Cal. error 0.1020, RMSE 0.0904, R2 0.7624
x409: Cal. error 0.1390, RMSE 0.0936, R2 0.7531
x410: Cal. error 0.1700, RMSE 0.0972, R2 0.7514
x411: Cal. error 0.1740, RMSE 0.0987, R2 0.7586
x412: Cal. error 0.1850, RMSE 0.0947, R2 0.7702
x413: Cal. error 0.1570, RMSE 0.0878, R2 0.7844
x414: Cal. error 0.1500, RMSE 0.0825, R2 0.8056
x415: Cal. error 0.1060, RMSE 0.0752, R2 0.8229
x416: Cal. error 0.1080, RMSE 0.0634, R2 0.8325
x417: Cal. error 0.1230, RMSE 0.0605, R2 0.8326
x418: Cal. error 0.1590, RMSE 0.0614, R2 0.8236
x419: Cal. error 0.1720, RMSE 0.0645, R2 0.8141
x420: Cal. error 0.2380, RMSE 0.0679, R2 0.8108
x421: Cal. error 0.2230, RMSE 0.0752, R2 0.8089
x422: Cal. error 0.2390, RMSE 0.0802, R2 0.8060
x423: Cal. error 0.2210, RMSE 0.0815, R2 0.8170
x424: Cal. error 0.1720, RMSE 0.0790, R2 0.8280
x425: Cal. error 0.1440, RMSE 0.0693, R2 0.8352
x426: Cal. error 0.1290, RMSE 0.0652, R2 0.8329
x427: Cal. error 0.0920, RMSE 0.0649, R2 0.8294
x428: Cal. error 0.0770, RMSE 0.0655, R2 0.8310
x429: Cal. error 0.0740, RMSE 0.0673, R2 0.8368
x430: Cal. error 0.0270, RMSE 0.0694, R2 0.8435
x431: Cal. error 0.0120, RMSE 0.0738, R2 0.8566
x432: Cal. error 0.0240, RMSE 0.0735, R2 0.8614
x433: Cal. error 0.0240, RMSE 0.0764, R2 0.8548
x434: Cal. error 0.0450, RMSE 0.0781, R2 0.8416
